title,authors,source,year,doi,abstract
Implementing microlearning and gamification techniques in teaching software project management concepts,"DM Suciu - … Software Engineering and Artificial Intelligence, 2022 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.1145/3548660.3561335,The primary objective of this research is to examine the advantages of combining microlearning with specific gamification elements in an academic setting and to gain a better …
An empirical study on challenges for llm application developers,"X Chen, C Gao, C Chen, G Zhang, Y Liu - ACM Transactions on …, 2025 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.1145/3715007,"… The third arbitrator has five years of software project development experience and three years of experience in developing large language models. After rigorous processing, all …"
Nevena Rankovic Dragica Ranković Mirjana Ivanovic,L Lazić - Springer,Google Scholar via SerpApi,2025,https://link.springer.com/content/pdf/10.1007/978-3-031-76572-8.pdf,"… , significantly advancing this area of software project management. This book serves not … skills in the application of artificial intelligence in software project management but also as a …"
The history and future of projects as a transition innovation: Towards a sustainable project management framework,"S Sankaran, M Jacobsson… - Systems research and …, 2021 - Wiley Online Library",Google Scholar via SerpApi,2025,https://onlinelibrary.wiley.com/doi/abs/10.1002/sres.2814,… The aim of the paper is therefore to review the history of projects and project management as a transition innovation and propose a sustainable project management framework that …
Complex software project development: agile methods adoption,"D Mishra, A Mishra - Journal of Software Maintenance and …, 2011 - Wiley Online Library",Google Scholar via SerpApi,2025,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.528,"… The objective of the study is to illustrate how Agile methods can be adopted in a complex software project development. The remainder of the paper is organized as follows: In Section 2, …"
A performance measurement view of IT project management,"R Tadeu de Oliveira Lacerda, L Ensslin… - International Journal of …, 2011 - emerald.com",Google Scholar via SerpApi,2025,https://www.emerald.com/insight/content/doi/10.1108/17410401111101476/full/html,"… With the points above in mind, the research questions guiding this work are revisited: How should success of software project management be defined? How should software project be …"
Microlearning strategy in the promotion of motivation and learning outcomes in software project management,"GP Gasca‐Hurtado, S Morillo‐Puente… - Computer …, 2024 - Wiley Online Library",Google Scholar via SerpApi,2025,https://onlinelibrary.wiley.com/doi/abs/10.1002/cae.22717,"… Lottery mobile application, this research focused on analyzing learning in the specific context of Software Project Management under the Scrum framework. Two measures were taken to …"
Changes in IT Project Management Awareness According to Business Process Management Experts' Opinion: Comparative Study 2017-2023,"W Chmielarz, A Sołtysik-Piorunkiewicz - Economics and Culture, 2024 - sciendo.com",Google Scholar via SerpApi,2025,https://sciendo.com/pdf/10.2478/jec-2024-0018,"… the differences in IT project management awareness and … awareness regarding IT project management has changed … , and the determinants and effects of IT project management. …"
IT project management resources and capabilities: a Delphi study,"P Hadaya, L Cassivi, C Chalabi - International Journal of Managing …, 2012 - emerald.com",Google Scholar via SerpApi,2025,https://www.emerald.com/insight/content/doi/10.1108/17538371211214914/full/html,"… The purpose of this paper is to identify the most important IT project management resources and capabilities, and rank them according to the extent to which they are valuable, rare and …"
A 20‐year mapping of Bayesian belief networks in software project management,"ALR De Sousa, CRB De Souza, RQ Reis - IET Software, 2022 - Wiley Online Library",Google Scholar via SerpApi,2025,https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/sfw2.12043,"In recent years, more software engineering researchers have focussed on methods, techniques, tools, and processes to support software project management (SPM) addressing quality, …"
Software Project Management for Distributed Computing,Z Mahmood - 2017 - Springer,Google Scholar via SerpApi,2025,https://link.springer.com/content/pdf/10.1007/978-3-319-54325-3.pdf,"Software Project Management (SPM) is a subdiscipline of project management in which software projects are planned, engineered, implemented and monitored. In order that software …"
Role of machine learning in software project management,"R Mamatha, KG Suma - Journal of Physics: Conference Series, 2021 - iopscience.iop.org",Google Scholar via SerpApi,2025,https://iopscience.iop.org/article/10.1088/1742-6596/2040/1/012038/meta,Monitoring and control project work is both critical and challenging. The greatest asset of any organization is its human resource that ensures the success to achieve the goals and …
IT Project Management 4.0: Trends and Future Directions,"S Perera, R Eadie, S Nanayakkara… - … Project Management, 2022 - World Scientific",Google Scholar via SerpApi,2025,https://www.worldscientific.com/doi/abs/10.1142/9789811240584_0017,"… Therefore, novel blockchain technology will change the IT project management landscape … Therefore, the future of the IT project management will be significantly impacted by smart …"
Dynamic staffing and rescheduling in software project management: A hybrid approach,"Y Ge, B Xu - PloS one, 2016 - journals.plos.org",Google Scholar via SerpApi,2025,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0157104,"… an early effort to apply GAs in the software project management environment [1], much as … project scenarios were solved in software project management. Few human resource factors …"
Designing game scenarios for software project management education and assessment,"A Calderón, M Ruiz, RV O'Connor - IET Software, 2019 - Wiley Online Library",Google Scholar via SerpApi,2025,https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/iet-sen.2018.5081,"… years, an increasing interest has been observed in the development and use of simulations, serious games (SGs) and gamification strategies to teach software project management (…"
Multiobjective simulation optimisation in software project management,"D Rodríguez, M Ruiz, JC Riquelme… - Proceedings of the 13th …, 2011 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.1145/2001576.2001829,"… Since software project management is a field where optimising conflicting objectives is one of the most frequent tasks that project managers need to face, it would be interesting to …"
"Application of Data Analytics in IT project Management: Improving efficiency, Risk Mitigation","H Venkatasubramanian, M Anisa, SR Ramesh… - Proceedings of the 6th …, 2024 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.1145/3745812.3745882,"… The adoption of data analytics greatly improves IT project management and improves a continuous improvement culture, according to the papers conclusion and it encourages IT …"
"Software engineering: Management, personnel and methodology","TH Bruggere - Proceedings of the 4th international conference on …, 1979 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.5555/800091.802960,"Three key factors often determine the success or failure of a software project: the management of the project, the selection of personnel, and the development methodology that is used. …"
Moderating effect of Nigerian government policy support on the relationship between project management framework and emerging construction contractors' …,"A Ebekozien, C Aigbavboa, MS Samsurijan… - International Journal of …, 2023 - emerald.com",Google Scholar via SerpApi,2025,https://www.emerald.com/insight/content/doi/10.1108/IJBPA-01-2023-0007/full/html,"… In most developing countries, indigenous emerging construction contractors (ECCs) face severe problems of not adopting a project management framework (PMF) in their business …"
From Traditional to Agile Methodologies in Software Project Management Education: A Case Study,"MF Santos, RA Filipe, JC Cunha - Proceedings of the 2024 the 16th …, 2024 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.1145/3702163.3702460,"… This paper describes and analyzes this transition in a Software Project Management course at a higher-education institution. This experiment took place over two academic years, with …"
Development of a project management framework for the digitalisation of mining operations,"MQM Buthelezi, S Naidoo - South African Journal of Information …, 2024 - journals.co.za",Google Scholar via SerpApi,2025,https://journals.co.za/doi/abs/10.4102/sajim.v26i1.1839,"… In addition, the development of the conceptual project management framework provides … Based on the findings of the study, a conceptual project management framework for the …"
A review of human factors in remote software project management: A progressive look at human based issues in remote software development environments,"TF Ockiya, R Lock - Proceedings of the 2023 12th International …, 2023 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.1145/3634848.3634858,There is a documented high rate of project failure within the software engineering community. Many researchers have discussed what the issues are and how to solve them using novel …
Using semantic documentation to support software project management,"EC Bastos, MP Barcellos… - Journal on Data Semantics, 2018 - Springer",Google Scholar via SerpApi,2025,https://link.springer.com/article/10.1007/s13740-018-0089-z,"… Furthermore, considering that in the context of software project management, … Software Project Management Ontology (SPMO), covering these aspects of software project management. …"
IT project management in the future,"C D'Souza, R Goonewardene… - … in IT Project Management, 2022 - World Scientific",Google Scholar via SerpApi,2025,https://www.worldscientific.com/doi/abs/10.1142/9789811240584_0016,"The state of IT project management is at a crossroads. Modern IT projects must satisfy the needs of multiple stakeholders, meet commercially viable outcomes, deliver to global demands…"
Object database support for a software project management environment,"LC Liu, E Horowitz - Proceedings of the third ACM SIGSOFT/SIGPLAN …, 1988 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.1145/64135.64141,… This paper identifies the data management requirements related to software project management and shows how they are represented in the model called DesignNet. Then it is shown …
A data mining application: Analysis of problems occurring during a software project development process,"R Nayak, T Qiu - International Journal of Software Engineering and …, 2005 - World Scientific",Google Scholar via SerpApi,2025,https://www.worldscientific.com/doi/abs/10.1142/S0218194005002476,… Therefore they are useful for software project management in estimating bug fixing related time issues. The CBA software is good at classification and association data mining on …
Knowledge management based on formal models of software project management,"Z Kowalczuk, C Orłowski - Cybernetics and Systems: An …, 2007 - Taylor & Francis",Google Scholar via SerpApi,2025,https://www.tandfonline.com/doi/abs/10.1080/01969720701346538,… SOFTWARE PROJECT MANAGEMENT TEAM MODELS As we built the software project management team … Figure 1 Software project management team model SP M T describing team …
Key Artefacts in the Initial Phases of IT Project Management: Systematic Mapping Study,"O Nikiforova, K Babris, MK Miļūne… - Proc. of the 20th …, 2025 - scitepress.org",Google Scholar via SerpApi,2025,https://www.scitepress.org/Papers/2025/134710/134710.pdf,… The paper demonstrates the results of the systematic mapping study performed on the definition of the types of artefacts created during IT project management before the implementation…
"Quantitative software project management with mixed data: A comparison of radial, nonradial, and ensemble data envelopment analysis models","PC Pendharkar, JA Rodger - Journal of Software: Evolution …, 2021 - Wiley Online Library",Google Scholar via SerpApi,2025,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.2348,"Data envelopment analysis (DEA) models are often used for benchmarking software projects, and traditional DEA models only allow for the use of continuous variables. This study …"
Analysis of 13 implementations of the software engineering management and engineering basic profile guide of ISO/IEC 29110 in very small entities using different life …,"M Muñoz, A Peña, J Mejía… - Journal of Software …, 2020 - Wiley Online Library",Google Scholar via SerpApi,2025,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.2300,We are living in an age of growing demand for software products. This growing demand creates opportunities for very small entities (VSEs) to not only survive but also flourish. In this …
Investigating the benefits of applying artificial intelligence techniques to enhance learning experiences in capstone courses,"L A. Gonzalez - Proceedings of the 17th ACM Conference on …, 2021 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.1145/3446871.3469770,… different stages of their software project development by recommending previous lessons … techniques from the state-of-art artificial intelligence field in an educational platform with the …
Proposition of the project management framework through integration of the knowledge and information of the collaborative decision-making processes,"M Jankovic, J Le Cardinal… - International Journal of …, 2009 - inderscienceonline.com",Google Scholar via SerpApi,2025,https://www.inderscienceonline.com/doi/abs/10.1504/IJPD.2009.024183,"… In view to these perceived limits, we propose a project management framework for this early phase of NPPD. This framework is based upon the integration of information and knowledge …"
Innovative governance strategy to enhance the performance and the efficiency of IT project management activities,"MA Hamada, A Akzambekkyzy - International Journal of …, 2022 - inderscienceonline.com",Google Scholar via SerpApi,2025,https://www.inderscienceonline.com/doi/abs/10.1504/IJPOM.2022.124128,"… Having identified the main critical points in IT project management, the research structure … it considers the most critical variables in IT project management and includes the factors of …"
Automation in Software Project Management,"B Mohapatra, S Mohapatra… - … Automation Strategy in …, 2023 - emerald.com",Google Scholar via SerpApi,2025,https://www.emerald.com/insight/content/doi/10.1108/978-1-80455-143-120231009/full/html,"Software Project management is planning, organising and managing resources so as to … Software Project management constitutes the knowledge, techniques and tools required to …"
"Leadership, sourcing modes and IT project management","V Roy, C Bernier, M Danis - Canadian Journal of …, 2010 - Wiley Online Library",Google Scholar via SerpApi,2025,https://onlinelibrary.wiley.com/doi/abs/10.1002/cjas.161,"… Thus, despite the increasing professionalization of the position of project manager, and despite the growing body of knowledge on IT project management, the rate of failure of IT …"
Assessing SADC e-government maturity through the lens of its cities,"V Maphosa, M Maphosa - Electronic Government, an …, 2023 - inderscienceonline.com",Google Scholar via SerpApi,2025,https://www.inderscienceonline.com/doi/abs/10.1504/EG.2023.131726,"… technology, Industry 4.0, data mining, artificial intelligence, semantic webs and e-governance. … , machine learning, artificial intelligence, ICT4D, IT project management and Industry 4.0. …"
Software Project Management Effectiveness Evaluation Tool,"ME Barghoth, A Salah, MA Ismail - … of the 9th International Conference on …, 2020 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.1145/3436829.3436844,"… model of software project management effectiveness has … software project management effectiveness is high, project success is likely. The effectiveness of software project management …"
Incorporating PMBOK2004 guidelines into the software project management supported by software agents model,"RC Nienaber, E Smith - International Journal of Knowledge …, 2009 - inderscienceonline.com",Google Scholar via SerpApi,2025,https://www.inderscienceonline.com/doi/abs/10.1504/IJKL.2009.031508,"… the software project management model, entitled software project management supported by software agents (SPMSA) that aims to enhance software project management by taking the …"
Enabling open software project management data with antipatterns,"P Fitsilis, K Tilentzidis, I Moustakas, I Stamelos… - Proceedings of the 19th …, 2015 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.1145/2818187.2818286,… are used in software project management journal articles were … words aimed at software project management antipatterns. … Software project management learning from our mistakes. …
A report on the second international workshop on software engineering for artificial intelligence (SE4AI 2021),"S Bandyopadhyay, S Joshi - Proceedings of the 14th Innovations in …, 2021 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.1145/3452383.3453718,"… learning, big data analytics, and software visualization enable targeted insights and powerful predictions for software quality, software development, and software project management. …"
IT project management capabilities enhancement impacts of contingent employment policy in Hong Kong organisations,"CH Ng, D HT Walker, G Levin - International Journal of Managing …, 2013 - emerald.com",Google Scholar via SerpApi,2025,https://www.emerald.com/insight/content/doi/10.1108/IJMPB-08-2013-0035/full/html,… This paper aims to present a summary of findings of a doctoral thesis on the impacts of contingent employment on IT project management (PM) practices in three large representative …
IT Project Management,"L Wallace - Wiley Encyclopedia of Management, 2015 - Wiley Online Library",Google Scholar via SerpApi,2025,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781118785317.weom070032,"… IT project management refers to the application of a set of methodologies, tools, procedures, … and data mining and training of artificial intelligence technologies or similar technologies. …"
Applications of AI in classical software engineering,"M Barenkamp, J Rebstadt, O Thomas - AI Perspectives, 2020 - Springer",Google Scholar via SerpApi,2025,https://link.springer.com/article/10.1186/s42467-020-00005-4,… Artificial intelligence is useful to support software project management at the stage of task assignment and human resource allocation. Conventional scheduling models face the …
José Raúl Romero Inmaculada Medina-Bulo Francisco Chicano Editors,NC Series - Springer,Google Scholar via SerpApi,2025,https://link.springer.com/content/pdf/10.1007/978-981-19-9948-2.pdf,… artificial intelligence techniques can support software project managers with two key software project management … of this chapter mention that software project management is a very …
Leveraging ChatGPT for enhanced logical analysis in the theory of constraints thinking process,"T Aljaž - Organizacija, 2024 - sciendo.com",Google Scholar via SerpApi,2025,https://sciendo.com/pdf/10.2478/orga-2024-0014,"… Method: In this study, we applied ChatGPT to a real-world IT project management case using a variety of research methods, including international literature analysis, observation, and …"
Mapping the Nursing Process to a Human Performance Technology—Project Management Framework,"KB Hopper, M Zborowski - Performance Improvement, 2018 - Wiley Online Library",Google Scholar via SerpApi,2025,https://onlinelibrary.wiley.com/doi/abs/10.1002/pfi.21783,"Professional fields have similar models of practice. Those of four related fields, including human performance technology, reveal remarkable similarity to the nursing process model. …"
Book Review: Artificial Intelligence Applications for Improved Software Engineering Development: New Prospects by Farid Meziane and Sunil Vadera,"JL Lopez-Cuadrado… - … Journal of Data …, 2010 - inderscienceonline.com",Google Scholar via SerpApi,2025,https://www.inderscienceonline.com/doi/pdf/10.1504/IJDATS.2010.03748,"… artificial intelligence, software integration, web information systems and process improvement, software project management … information systems, software project management, people …"
"Using GQIM Model and Gompertz Model to Measure, Analyze, and Optimize the Whole Process of Software Project","L Zhao, Y Wu, X Wang, M Zhu - Mathematical Problems in …, 2023 - Wiley Online Library",Google Scholar via SerpApi,2025,https://onlinelibrary.wiley.com/doi/abs/10.1155/2023/2032876,"… artificial intelligence, the software project team is getting bigger since software project management … Section 4, SDLM e-bank software project management is taken as an example. The …"
A systematic review on software project scheduling and task assignment approaches,"T Fatima, F Azam, MW Anwar, Y Rasheed - … and artificial intelligence, 2020 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.1145/3404555.3404588,… Software Project Scheduling and Task Assignment are important integral aspects of software project management and contributes to the overall success of software projects. Key …
Soft modeling support for managing knowledge-based information technology (IT) projects,"C Orlowski - Cybernetics &Systems, 2002 - Taylor & Francis",Google Scholar via SerpApi,2025,https://www.tandfonline.com/doi/abs/10.1080/01969720290040669,"… the self-adjusting fuzzy model of the software engineering management, which is going to aid in … The proposed solution was integrated through the use of IT and Artificial Intelligence (AI) …"
Influence of input values on the prediction model error using artificial neural network based on Taguchi's orthogonal array,"N Rankovic, D Rankovic, M Ivanovic… - Concurrency and …, 2022 - Wiley Online Library",Google Scholar via SerpApi,2025,https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.6831,… Rapid and accurate assessment of software project development using artificial intelligence tools can be essential for success in the software industry. This article has two objectives: to …
Improving learning experiences in software engineering capstone courses using artificial intelligence virtual assistants,"LA Gonzalez, A Neyem… - Computer …, 2022 - Wiley Online Library",Google Scholar via SerpApi,2025,https://onlinelibrary.wiley.com/doi/abs/10.1002/cae.22526,… The virtual assistant helps students to solve problems similar to those they face in the different stages of their software project development. The integration is made in a system that …
How to survive in the age of artificial intelligence? Exploring the intelligent transformations of SMEs in central China,"J Wang, Y Lu, S Fan, P Hu, B Wang - International Journal of …, 2022 - emerald.com",Google Scholar via SerpApi,2025,https://www.emerald.com/insight/content/doi/10.1108/ijoem-06-2021-0985/full/html,Purpose The purpose of the research is to explore how small and medium enterprises (SMEs) in central China achieve intelligent transformation through the use of artificial intelligence (…
Project management for Modern Information systems,"M du Preez - The Electronic Library, 2007 - emerald.com",Google Scholar via SerpApi,2025,https://www.emerald.com/insight/content/doi/10.1108/02640470710754922/full/html,"… by describing and illustrating practices, methods and tools for IT project management. … software engineering and its relation to IT project management. Overall project planning and …"
An enhanced salp swarm optimizer boosted by local search algorithm for modelling prediction problems in software engineering,"S Kassaymeh, S Abdullah, MA Al-Betar… - Artificial Intelligence …, 2023 - Springer",Google Scholar via SerpApi,2025,https://link.springer.com/article/10.1007/s10462-023-10618-w,… Scientific communities are still motivated to create novel approaches and methodologies for early estimation of software project development efforts and testing efforts in soft computing …
"Context, Priorities, Constraints, and Trends in Information Technology Projects","G Gopal - … a Body of Knowledge in IT Project Management, 2022 - World Scientific",Google Scholar via SerpApi,2025,https://www.worldscientific.com/doi/abs/10.1142/9789811240584_0003,"… Traditional IT categories like hardware, software, and telco will garner new revenue streams for organizations which are expected to be routed to topics like Artificial Intelligence (AI), …"
Artificial intelligence meets software engineering in the classroom,"L Diosan, S Motogna - … Software Engineering and Artificial Intelligence, 2019 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.1145/3340435.3342718,… We aimed to assess the reliability of teaching Artificial Intelligence for Software Engineering master students. We propose a semiinteractive course where the students have to develop …
"Artificial intelligence and project management: Empirical overview, state of the art, and guidelines for future research","R Müller, G Locatelli, V Holzmann… - Project …, 2024 - journals.sagepub.com",Google Scholar via SerpApi,2025,https://journals.sagepub.com/doi/abs/10.1177/87569728231225198,Desk rejections of artificial intelligence (AI)–related submissions to the Project Management Journal ® (PMJ) are high. This article provides an overview and state-of-the-art snapshot on …
Green building project management: obstacles and solutions for sustainable development,"BG Hwang, JS Tan - Sustainable development, 2012 - Wiley Online Library",Google Scholar via SerpApi,2025,https://onlinelibrary.wiley.com/doi/abs/10.1002/sd.492,"… , as there is a lack of proper project management framework for such projects. Based on survey … Furthermore, a project management framework for green building construction should be …"
A model for estimating efforts required to make changes in a software development project,"K Jeet, R Dhir - … on Advances in Computing and Artificial Intelligence, 2011 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.1145/2007052.2007088,"… Research on software quality is as old as software project management. As in other engineering and science disciplines, one approach to understand and control this issue is the use of …"
Evaluation of an artificial intelligence project in the software industry based on fuzzy analytic hierarchy process and complex adaptive systems,"TS Chang - Journal of Enterprise Information Management, 2023 - emerald.com",Google Scholar via SerpApi,2025,https://www.emerald.com/insight/content/doi/10.1108/JEIM-02-2022-0056,… factors considered for AI software projects are to be developed as reference indicators for AI decision-making investment by SDSCs; (2) this study explores software project management…
A Data‐Driven Artificial Neural Network Approach to Software Project Risk Assessment,"MN Alatawi, S Alyahyan, S Hussain… - IET …, 2023 - Wiley Online Library",Google Scholar via SerpApi,2025,https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/2023/4324783,"… In the realm of software project management, predicting and mitigating risks are pivotal for … This research contributes to the software project management field by offering an innovative …"
Evaluating human-ai partnership for llm-based code migration,"B Omidvar Tehrani, IM, A Anubhai - … abstracts of the CHI conference on …, 2024 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.1145/3613905.3650896,"… In this work, we leverage an LLM-based code migration tool called Amazon Q Code Transformation to conduct semi-structured interviews with 11 participants undertaking code …"
Project control and computational intelligence: trends and challenges,"JAL García, AB Peña, PYP Pérez, RB Pérez - International Journal of …, 2017 - Springer",Google Scholar via SerpApi,2025,https://link.springer.com/article/10.2991/ijcis.2017.10.1.22,"… new libraries for learning evaluation in project control with open source software tools, opens a field of research related to increase technological integration with IT project management …"
Research on secure stereoscopic self-checking scheme for open source software,"J Zou, W Zeng, Y Zhao, R Liang, L Cai… - … on Artificial Intelligence …, 2019 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.1145/3349341.3349395,"… use of open source software, we introduce risk management mechanism, risk assessment and risk management mechanism in all aspects of open source software project development …"
An architecture as a code framework to manage documentation of IT projects,"C Gaie, B Florat, S Morvan - Applied Computing and Informatics, 2025 - emerald.com",Google Scholar via SerpApi,2025,https://www.emerald.com/insight/content/doi/10.1108/aci-12-2020-0159/full/html,"… This research provides an operational framework, which facilitates IT project management and documentation. The framework is open source and may be easily downloaded by any …"
Evolutionary neural network classifiers for software effort estimation,"NKL Alhammad, E Alzaghoul… - … of Computer Aided …, 2020 - inderscienceonline.com",Google Scholar via SerpApi,2025,https://www.inderscienceonline.com/doi/abs/10.1504/IJCAET.2020.107445,"… has become a crucial activity in software project management. Due to this importance, many … an urgent issue that challenged software project-management researchers around the world…"
A Redesigning Software Procedure in Improved Software Management using Machine Learning,"R Nethravathi, SN Kumar, S Shwetha… - IOP Conference …, 2020 - iopscience.iop.org",Google Scholar via SerpApi,2025,https://iopscience.iop.org/article/10.1088/1757-899X/981/2/022046/meta,… Machine learning [13] is an application of artificial intelligence that provides systems the ability to automatically learn and improve from experience without being explicitly programmed. …
"Artificial intelligence applications in project scheduling: A systematic review, bibliometric analysis, and prospects for future research","Z Bahroun, M Tanash, RA Ad, M Alnajar - Management Systems in …, 2023 - sciendo.com",Google Scholar via SerpApi,2025,https://sciendo.com/2/v2/download/article/10.2478/mspe-2023-0017.pdf,The availability of digital infrastructures and the fast-paced development of accompanying revolutionary technologies have triggered an unprecedented reliance on Artificial intelligence (…
Software for IT project quality management,"S Nanayakkara, S Perera, GT Weerasuriya… - … Project Management, 2022 - World Scientific",Google Scholar via SerpApi,2025,https://www.worldscientific.com/doi/abs/10.1142/9789811240584_0015,"… tests, provides object recognizing process with artificial intelligence, automates UI testing for … Sophisticated artificial intelligence testing ignores some issues and tries to complete the test …"
Book Review: Intelligent Systems for Automated Learning and Adaptation: Emerging Trends and Applications by Raymond Chiong,"I Gonzalez-Carrasco… - … of Information and …, 2010 - inderscienceonline.com",Google Scholar via SerpApi,2025,https://www.inderscienceonline.com/doi/pdf/10.1504/IJIDS.2010.037234,"… information systems, software project management, people … artificial intelligence, software integration, web information systems and process improvement, software project management …"
RETRACTED ARTICLE: Project engineering management evaluation based on GABP neural network and artificial intelligence,"L Yu - Soft Computing, 2023 - Springer",Google Scholar via SerpApi,2025,https://link.springer.com/article/10.1007/s00500-023-08133-9,"… Based on artificial intelligence technology, this paper … general projects based on artificial intelligence technology and neural … The computer mobile terminal software project management …"
… to enable automation of the software development process in software StartUps: an investigation study from the use of artificial intelligence and machine learning,"O Borges, V Lenarduzzi, R Prikladnicki - Proceedings of the 1st …, 2022 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.1145/3522664.3528610,"Artificial Intelligence (AI) and Machine Learning (ML) tools and techniques have increasingly effectively supported Software Engineering (SE) tasks, whether for requirements …"
