ID,ENTRYTYPE,title,author,year,journal,booktitle,volume,number,pages,doi,url,note,bibsource,biburl,timestamp,publisher,editor,series,howpublished,month,eprint,eprinttype,urn,Abstract
DBLP:journals/ijmms/ZhaQHLGX25,article,"Designing child-centric {AI} learning environments: Insights from
an LLM-powered creative project-based learning study","Siyu Zha and
Yuehan Qiao and
Qingyu Hu and
Zhongsheng Li and
Jiangtao Gong and
Yingqing Xu",2025,Int. J. Hum. Comput. Stud.,,204,,103602,10.1016/J.IJHCS.2025.103602,https://doi.org/10.1016/j.ijhcs.2025.103602,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/ijmms/ZhaQHLGX25.bib,"Mon, 06 Oct 2025 01:00:00 +0200",,,,,,,,,
DBLP:journals/infsof/AhlgrenSKN25,article,"Assisting early-stage software startups with LLMs: Effective prompt
engineering and system instruction design","Thea Lovise Ahlgren and
Helene F{\o}nstelien Sunde and
Kai{-}Kristian Kemell and
Anh Nguyen{-}Duc",2025,Inf. Softw. Technol.,,187,,107832,10.1016/J.INFSOF.2025.107832,https://doi.org/10.1016/j.infsof.2025.107832,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/infsof/AhlgrenSKN25.bib,"Sat, 09 Aug 2025 01:00:00 +0200",,,,,,,,,
DBLP:journals/infsof/GaoCZ25,article,"{SVA-ICL:} Improving LLM-based software vulnerability assessment via
in-context learning and information fusion","Chaoyang Gao and
Xiang Chen and
Guangbei Zhang",2025,Inf. Softw. Technol.,,186,,107803,10.1016/J.INFSOF.2025.107803,https://doi.org/10.1016/j.infsof.2025.107803,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/infsof/GaoCZ25.bib,"Sat, 09 Aug 2025 01:00:00 +0200",,,,,,,,,
DBLP:journals/iotj/SuWKWSPZH25,article,"Hybrid RAG-Empowered Multimodal {LLM} for Secure Data Management in
Internet of Medical Things: {A} Diffusion-Based Contract Approach","Cheng Su and
Jinbo Wen and
Jiawen Kang and
Yonghua Wang and
Yuanjia Su and
Hudan Pan and
Zishao Zhong and
M. Shamim Hossain",2025,{IEEE} Internet Things J.,,12,10,13428--13440,10.1109/JIOT.2024.3521425,https://doi.org/10.1109/JIOT.2024.3521425,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/iotj/SuWKWSPZH25.bib,"Fri, 04 Jul 2025 01:00:00 +0200",,,,,,,,,"Secure data management and effective data sharing have become paramount in the rapidly evolving healthcare landscape, especially with the growing demand for the Internet of Medical Things (IoMT) integration. The advent of generative artificial intelligence (GenAI) has further elevated multimodal large language models (MLLMs) as essential tools for managing and optimizing healthcare data in IoMT. MLLMs can handle multimodal inputs and generate different kinds of data by utilizing large-scale training on massive multimodal datasets. Nevertheless, significant challenges remain in developing medical MLLMs, especially security and data freshness concerns, which impact the quality of MLLM outputs. To this end, this article proposes a hybrid Retrieval-Augmented Generation (RAG)-empowered medical MLLM framework for healthcare data management. The proposed framework enables secure data training by utilizing a hierarchical cross-chain design. Furthermore, it improves the output quality of MLLMs by using hybrid RAG that filters different unimodal RAG results using multimodal metrics and integrates these retrieval results as additional inputs for MLLMs. Furthermore, we utilize the age of information (AoI) to indirectly assess the influence of data freshness on MLLMs and apply contract theory to motivate healthcare data stakeholders to disseminate their current data, thereby alleviating information asymmetry in the data-sharing process. Finally, we employ a generative diffusion model-based deep reinforcement learning (DRL) technique to find the optimal contract for efficient data sharing. Numerical results show the effectiveness of the proposed approach in achieving secure and efficient healthcare data management."
DBLP:journals/iotj/YangZLK25,article,"ChatDL: An LLM-Based Defect Localization Approach for Software in
IIoT Flexible Manufacturing","Haiyang Yang and
Yulu Zhou and
Tian Liang and
Li Kuang",2025,{IEEE} Internet Things J.,,12,16,32333--32343,10.1109/JIOT.2025.3531512,https://doi.org/10.1109/JIOT.2025.3531512,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/iotj/YangZLK25.bib,"Thu, 11 Sep 2025 01:00:00 +0200",,,,,,,,,"With the rapid advancement of flexible manufacturing in the Industrial Internet of Things (IIoT), there has been a significant increase in the number of IIoT devices and application software aimed at meeting various needs. The software defects may lead to delays or crashes in flexible manufacturing system, thereby affecting the production schedule. Automated software defect localization based on code changes can significantly reduce development and maintenance time costs, thereby maintaining the competitive edge of flexible manufacturing in the IIoT. Current efforts in software defect localization are primarily based on deep learning models or information retrieval models. This article investigates the performance of large language models (LLMs) in software defect localization and optimizes localization accuracy by combining it with an information retrieval model. Our empirical study reveals that GPT, given a software defect description, is unable to determine whether specific code changes are relevant. The model is unable to provide accurate answers, which aligns with the generative nature of LLMs where responses are generated according to probability distributions. However, the combined framework of LLMs and information retrieval models proposed in this article outperforms the current state-of-the-art models on public datasets. We conclude that LLMs can enhance localization performance when used as side information in conjunction with existing information retrieval models. The effectiveness of the framework has been validated through experiments conducted on publicly available datasets and in practical applications within IIoT projects. This offers valuable insights into the application and development of LLMs for defect localization in the software development and maintenance processes in the IIoT flexible manufacturing."
DBLP:journals/jbd/GregoriLLMT25,article,"An LLM-guided platform for multi-granular collection and management
of data provenance","Luca Gregori and
Pasquale Leonardo Lazzaro and
Marialaura Lazzaro and
Paolo Missier and
Riccardo Torlone",2025,J. Big Data,,12,1,187,10.1186/S40537-025-01209-3,https://doi.org/10.1186/s40537-025-01209-3,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/jbd/GregoriLLMT25.bib,"Mon, 08 Sep 2025 01:00:00 +0200",,,,,,,,,
DBLP:journals/jss/CaiLWLS25,article,"Demystifying issues, causes and solutions in {LLM} open-source projects","Yangxiao Cai and
Peng Liang and
Yifei Wang and
Zengyang Li and
Mojtaba Shahin",2025,J. Syst. Softw.,,227,,112452,10.1016/J.JSS.2025.112452,https://doi.org/10.1016/j.jss.2025.112452,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/jss/CaiLWLS25.bib,"Wed, 11 Jun 2025 01:00:00 +0200",,,,,,,,,
DBLP:journals/jss/DilCD25,article,"Towards higher quality software vulnerability data using LLM-based
patch filtering","Charlie Dil and
Hui Chen and
Kostadin Damevski",2025,J. Syst. Softw.,,230,,112581,10.1016/J.JSS.2025.112581,https://doi.org/10.1016/j.jss.2025.112581,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/jss/DilCD25.bib,"Sun, 07 Sep 2025 01:00:00 +0200",,,,,,,,,
DBLP:journals/kbs/VitoFA25,article,{HELIOT:} LLM-Based {CDSS} for adverse drug reaction management,"Gabriele De Vito and
Filomena Ferrucci and
Athanasios Angelakis",2025,Knowl. Based Syst.,,328,,114184,10.1016/J.KNOSYS.2025.114184,https://doi.org/10.1016/j.knosys.2025.114184,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/kbs/VitoFA25.bib,"Sat, 06 Sep 2025 01:00:00 +0200",,,,,,,,,
DBLP:journals/pacmmod/ZhaoZFNLYPJLXTC25,article,"{MEMO:} Fine-grained Tensor Management For Ultra-long Context {LLM}
Training","Pinxue Zhao and
Hailin Zhang and
Fangcheng Fu and
Xiaonan Nie and
Qibin Liu and
Fang Yang and
Yuanbo Peng and
Dian Jiao and
Shuaipeng Li and
Jinbao Xue and
Yangyu Tao and
Bin Cui",2025,Proc. {ACM} Manag. Data,,3,1,53:1--53:28,10.1145/3709703,https://doi.org/10.1145/3709703,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/pacmmod/ZhaoZFNLYPJLXTC25.bib,"Tue, 08 Apr 2025 01:00:00 +0200",,,,,,,,,"Nowadays, Large Language Models (LLMs) have been trained using extended context lengths to foster more creative applications. However, long context training poses great challenges considering the constraint of GPU memory. It not only leads to substantial activation memory consumption during training, but also incurs considerable memory fragmentation. To facilitate long context training, existing frameworks have adopted strategies such as recomputation and various forms of parallelisms. Nevertheless, these techniques rely on redundant computation or extensive communication, resulting in low Model FLOPS Utilization (MFU). In this paper, we propose MEMO, a novel LLM training framework designed for fine-grained activation memory management. Given the quadratic scaling of computation and linear scaling of memory with sequence lengths when using FlashAttention, we offload memory-consuming activations to CPU memory after each layer's forward pass and fetch them during the backward pass. To maximize the swapping of activations without hindering computation, and to avoid exhausting limited CPU memory, we implement a token-wise activation recomputation and swapping mechanism. Furthermore, we tackle the memory fragmentation issue by employing a bi-level Mixed Integer Programming (MIP) approach, optimizing memory reuse across transformer layers. Empirical results demonstrate that MEMO achieves an average of 1.97x and 1.80x MFU compared to Megatron-LM and DeepSpeed, respectively. This improvement is attributed to MEMO's ability to minimize memory fragmentation, reduce recomputation and intensive communication, and circumvent the delays associated with the memory reorganization process due to fragmentation. By leveraging fine-grained activation memory management, MEMO facilitates efficient training of 7B LLM with 1 million sequence length on just 8 A800 GPUs, achieving an MFU of 52.30%."
DBLP:journals/pacmse/BouzeniaP25,article,"You Name It, {I} Run It: An {LLM} Agent to Execute Tests of Arbitrary
Projects","Islem Bouzenia and
Michael Pradel",2025,Proc. {ACM} Softw. Eng.,,2,{ISSTA},1054--1076,10.1145/3728922,https://doi.org/10.1145/3728922,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/pacmse/BouzeniaP25.bib,"Thu, 11 Sep 2025 01:00:00 +0200",,,,,,,,,"The ability to execute the test suite of a project is essential in many scenarios, e.g., to assess code quality and code coverage, to validate code changes made by developers or automated tools, and to ensure compatibility with dependencies. Despite its importance, executing the test suite of a project can be challenging in practice because different projects use different programming languages, software ecosystems, build systems, testing frameworks, and other tools. These challenges make it difficult to create a reliable, universal test execution method that works across different projects. This paper presents ExecutionAgent, an automated technique that prepares scripts for building an arbitrary project from source code and running its test cases. Inspired by the way a human developer would address this task, our approach is a large language model (LLM)-based agent that autonomously executes commands and interacts with the host system. The agent uses meta-prompting to gather guidelines on the latest technologies related to the given project, and it iteratively refines its process based on feedback from the previous steps. Our evaluation applies ExecutionAgent to 50 open-source projects that use 14 different programming languages and many different build and testing tools. The approach successfully executes the test suites of 33/50 projects, while matching the test results of ground truth test suite executions with a deviation of only 7.5%. These results improve over the best previously available technique by 6.6x. The costs imposed by the approach are reasonable, with an execution time of 74 minutes and LLM costs of USD 0.16, on average per project. We envision ExecutionAgent to serve as a valuable tool for developers, automated programming tools, and researchers that need to execute tests across a wide variety of projects."
DBLP:journals/pacmse/GuanBL25,article,"CrossProbe: LLM-Empowered Cross-Project Bug Detection for Deep Learning
Frameworks","Hao Guan and
Guangdong Bai and
Yepang Liu",2025,Proc. {ACM} Softw. Eng.,,2,{ISSTA},2430--2452,10.1145/3728984,https://doi.org/10.1145/3728984,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/pacmse/GuanBL25.bib,"Thu, 11 Sep 2025 01:00:00 +0200",,,,,,,,,"Deep Learning (DL) models may introduce reliability challenges in the underlying DL frameworks. These frameworks may be prone to bugs that can lead to crash or wrong results, particularly when involving complex model architectures and substantial computational demands. Such framework bugs can disrupt DL applications, impacting customer experience and potentially causing financial losses. Traditional approaches to testing DL frameworks face limitations in adapting to the vast search space of model structures, diverse APIs, and the complexity of hybrid programming and hardware environments. Recent advancements using Large Language Models (LLMs) have improved DL framework fuzzing, but their efficacy depends heavily on the quality and diversity of input prompts, which are often constructed using single-framework data.
 
 In this paper, we propose an innovative approach for enhancing test generation for DL frameworks by leveraging “mirroring issues”—analogous bugs identified across different frameworks with common functionalities. Our approach is inspired by the fact that DL frameworks, such as PyTorch and TensorFlow, often share common bugs due to dependencies, developer errors, or edge-case inputs. We develop CrossProbe that utilizes LLMs to effectively learn from existing issues of one framework and transfer the acquired knowledge to generate test cases for finding mirroring issues in another framework, thus enabling cross-framework bug detection. To overcome the challenges of test case generation arising from the incompatible functionalities and different implementations between frameworks, we introduce three processes:
 alignment
 ,
 screening
 , and
 distinction
 . These processes help mitigate transfer errors by establishing API pair databases, filtering unsuitable cases, and highlighting cross-framework distinctions. Experiments demonstrate that CrossProbe is efficient by saving 36.3% iterations of generation, and achieves a 25.0% higher success rate in issue transferring compared to existing state-of-the-art LLM-based testing techniques. CrossProbe detects 24 unique bugs using its transferred knowledge. Out of them, 19 are previously unknown and each requires cross-framework knowledge in deep learning for identification.
"
DBLP:journals/pacmse/WangGGFCX25,article,"Can LLMs Replace Human Evaluators? An Empirical Study of LLM-as-a-Judge
in Software Engineering","Ruiqi Wang and
Jiyu Guo and
Cuiyun Gao and
Guodong Fan and
Chun Yong Chong and
Xin Xia",2025,Proc. {ACM} Softw. Eng.,,2,{ISSTA},1955--1977,10.1145/3728963,https://doi.org/10.1145/3728963,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/pacmse/WangGGFCX25.bib,"Thu, 11 Sep 2025 01:00:00 +0200",,,,,,,,,"Recently, large language models (LLMs) have been deployed to tackle various software engineering (SE) tasks like code generation, significantly advancing the automation of SE tasks. However, assessing the quality of these LLM-generated code and text remains challenging. The commonly used Pass@k metric necessitates extensive unit tests and configured environments, demands a high labor cost, and is not suitable for evaluating LLM-generated text. Conventional metrics like BLEU, which measure only lexical rather than semantic similarity, have also come under scrutiny. In response, a new trend has emerged to employ LLMs for automated evaluation, known as LLM-as-a-judge. These LLM-as-a-judge methods are claimed to better mimic human assessment than conventional metrics without relying on high-quality reference answers. Nevertheless, their exact human alignment in SE tasks remains unexplored.
 In this paper, we empirically explore LLM-as-a-judge methods for evaluating SE tasks, focusing on their alignment with human judgments. We select seven LLM-as-a-judge methods that utilize general-purpose LLMs, alongside two LLMs specifically fine-tuned for evaluation. After generating and manually scoring LLM responses on three recent SE datasets of code translation, code generation, and code summarization, we then prompt these methods to evaluate each response. Finally, we compare the scores generated by these methods with human evaluation. The results indicate that output-based methods reach the highest Pearson correlation of 81.32 and 68.51 with human scores in code translation and generation, achieving near-human evaluation, noticeably outperforming ChrF++, one of the best conventional metrics, at 34.23 and 64.92. Such output-based methods prompt LLMs to output judgments directly, and exhibit more balanced score distributions that resemble human score patterns. Finally, we provide insights and implications, concluding that current state-of-the-art LLM-as-a-judge methods can potentially replace human evaluations in certain SE tasks."
DBLP:journals/pacmse/XiaDDZ25,article,Demystifying LLM-Based Software Engineering Agents,"Chunqiu Steven Xia and
Yinlin Deng and
Soren Dunn and
Lingming Zhang",2025,Proc. {ACM} Softw. Eng.,,2,{FSE},801--824,10.1145/3715754,https://doi.org/10.1145/3715754,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/pacmse/XiaDDZ25.bib,"Thu, 11 Sep 2025 01:00:00 +0200",,,,,,,,,"Recent advancements in large language models (LLMs) have significantly advanced the automation of software development tasks, including code synthesis, program repair, and test generation. More recently, researchers and industry practitioners have developed various autonomous LLM agents to perform end-to-end software development tasks. These agents are equipped with the ability to use tools, run commands, observe feedback from the environment, and plan for future actions. However, the complexity of these agent-based approaches, together with the limited abilities of current LLMs, raises the following question: Do we really have to employ complex autonomous software agents? To attempt to answer this question, we build Agentless – an agentless approach to automatically resolve software development issues. Compared to the verbose and complex setup of agent-based approaches, Agentless employs a simplistic three-phase process of localization, repair, and patch validation, without letting the LLM decide future actions or operate with complex tools. Our results on the popular SWE-bench Lite benchmark show that surprisingly the simplistic Agentless is able to achieve both the highest performance (32.00%, 96 correct fixes) and low cost ($0.70) compared with all existing open-source software agents at the time of paper submission! Agentless also achieves more than 50% solve rate when using Claude 3.5 Sonnet on the new SWE-bench Verified benchmark. In fact, Agentless has already been adopted by OpenAI as the go-to approach to showcase the real-world coding performance of both GPT-4o and the new o1 models; more recently, Agentless has also been used by DeepSeek to evaluate their newest DeepSeek V3 and R1 models. Furthermore, we manually classified the problems in SWE-bench Lite and found problems with exact ground truth patches or insufficient/misleading issue descriptions. As such, we construct SWE-bench Lite-𝑆 by excluding such problematic issues to perform more rigorous evaluation and comparison. Our work highlights the currently overlooked potential of a simplistic, cost-effective technique in autonomous software development. We hope Agentless will help reset the baseline, starting point, and horizon for autonomous software agents, and inspire future work along this crucial direction. We have open-sourced Agentless at: https://github.com/OpenAutoCoder/Agentless"
