title,authors,doi,year,abstract
Identifying the Factors Affecting Student Academic Performance and Engagement Prediction in MOOC Using Deep Learning: A Systematic Literature Review,S. Rizwan; C. K. Nee; S. Garfan,10.1109/ACCESS.2025.3533915,2025,"The increasing reliance on Massive Open Online Courses (MOOCs) has transformed the landscape of education, particularly during the COVID-19 pandemic, where e-learning became essential. However, the effectiveness of MOOCs in enhancing student academic performance and engagement remains a key challenge, compounded by high dropout rates and low retention. This study presents a systematic literature review (SLR) conducted over a five-year period (2019–2024) to identify factors affecting student academic performance and engagement prediction in MOOCs, utilizing Deep Learning (DL) methods. The review follows the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, systematically analyzing articles from five major academic databases: ScienceDirect, SpringerLink, Scopus, Taylor & Francis, and Wiley Online. A total of 70 articles were selected for in-depth analysis, focusing on key predictors of student performance and engagement, including demographic data, behavioral patterns, learning activities, and clickstream data. The review highlights the capabilities of DL techniques in predicting student outcomes, such as retention, dropout, and engagement, offering valuable insights for educators and policymakers aiming to improve MOOC-based learning environments. By conducting SLR using PRISMA model, we identified research findings and gaps by proposing a conceptual framework for developing future personalized and adaptive e-learning environment for the inclusive MOOC based hard of hearing and low vision learners. This paper concludes by discussing implications for future personalized and adaptive e-learning environments and the necessity of comprehensive teacher training programs to navigate these evolving educational technologies."
"Discussing the present, past, and future of Machine learning techniques in livestock farming: A systematic literature review",R. Roy; M. M. Baral; S. K. Pal; S. Kumar; S. Mukherjee; B. Jana,10.1109/COM-IT-CON54601.2022.9850749,2022,"The digital revolution of livestock production has converted various planning functions into artificially intelligent systems to obtain information from different sources. Machine learning (ML), a subset of artificial intelligence, has a high potential for handling multiple difficulties for the organisations of information-based systems. The current study provides insights on ML in livestock farming by comprehensively reviewing recent academic articles using keyword combinations and in full compliance with PRISMA guidelines. This article extracted 216 articles from the literature review and, after the proper selection process, only considered 144 articles for further study. This study presents the past, present, and future of ML in livestock farming. This study will act as a source of information in both the research world and industry to know the future of ML in livestock production."
"ESG Score Prediction Using Machine Learning, Gap Analysis",K. M. Edhrabooh; M. Alromaihi; F. Binzaiman; M. AlShammari,10.1109/ICDABI63787.2024.10800665,2024,"This study aims to identify the main research gaps in Environmental, Social, and Governance (ESG) score prediction using Machine Learning (ML). To achieve this, a qualitative approach is adopted based on a Systematic Literature Review (SLR) using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, alongside gap analysis employing the seven research gaps model developed by Miles. Considering the detailed gap analysis conducted above, several research problems can be derived from the identified practical knowledge, empirical, and population research gaps for further analysis and future studies: the lack of proper input features, the absence of novel ML models, the lack of diverse datasets testing, inadequate market diversity in testing, and a lack of recent years testing. This study not only contributes to the body of knowledge by finding the main gaps identified in recent studies but also has the potential to inspire researchers to address these gaps and potentially revolutionize the field, thereby fostering innovation and advancement in ESG score prediction using ML. By addressing these gaps, researchers can significantly enhance the accuracy and reliability of ESG score prediction models, leading to more informed decision-making in the field."
A Systematic Review on Application of Multimodal Learning and Explainable AI in Tuberculosis Detection,B. Nansamba; J. Nakatumba-Nabende; A. Katumba; D. P. Kateete,10.1109/ACCESS.2025.3558878,2025,"Physicians rely on various data sources when diagnosing Tuberculosis (TB). This includes the patient’s historical data, demographic data, clinical laboratory results, and imaging data. Traditionally, the application of machine learning and deep learning in detecting TB has focused more on using single modes of data. This constrains the capabilities of the artificial intelligence (AI) techniques to replicate the clinical practice of incorporating multiple sources of information in decision-making. Recent advancements in deep learning and machine learning have enabled the integration of multimodal data which has led to the development of applications that more accurately reflect the clinician’s approach. However, the operations of deep learning techniques are still blackbox in nature, which makes it hard to understand their internal work mechanisms. As a result, it is necessary to incorporate explainable AI techniques to assist AI model users understand how the models make decisions. In this paper, we carried out a systematic review of two areas: First, we reviewed recent studies on the application of multimodal learning in TB detection. Here we have provided a summary of the public datasets used in the studies, data modalities used, the fusion techniques, and finally identified AI techniques that can be used with multimodal data. Then we looked at papers that used explainable AI techniques in TB diagnosis and prognosis. This study followed PRISMA guidelines to ensure replicability and accurate reporting of the main findings of the reviewed studies. To stay up-to-date with the state of the art, we specifically examined papers published between 2019 and June 2024. We reviewed thirty-one journal and conference papers we found using Web of Science, Scopus and Pubmed databases. The review indicated that models trained on multiple data modalities outperformed those trained on single data modalities. This is due to the additional information extracted from each data modality. Therefore, multimodal learning can improve clinical decision-making and TB diagnostic precision, but faces challenges like insufficient datasets and interpretability issues in model prediction processes."
Machine Learning Approaches for Fake Reviews Detection: A Systematic Literature Review,M. Ennaouri; A. Zellou,10.13052/jwe1540-9589.2254,2023,"These days, most people refer to user reviews to purchase an online product. Unfortunately, spammers exploit this situation by posting deceptive reviews and misleading consumers either to promote a product with poor quality or to demote a brand and damage its reputation. Among the solutions to this problem is human verification. Unfortunately, the real-time nature of fake reviews makes the task more difficult, especially on e-commerce platforms. The purpose of this study is to conduct a systematic literature review to analyze solutions put out by researchers who have worked on setting up an automatic and efficient framework to identify fake reviews, unsolved problems in the domain, and the future research direction. Our findings emphasize the importance of the use of certain features and provide researchers and practitioners with insights on proposed solutions and their limitations. Thus, the findings of the study reveals that most approaches focus on sentiment analysis, opinion mining and, in particular, machine learning (ML), which contributes to the development of more powerful models that can significantly solve the problem and thus enhance further the accuracy and efficiency of detecting fake reviews."
"Utilization of Deep Learning and Machine Learning Algorithms in Detection, Segmentation, and Classification of Brain Metastasis: A Systematic Literature Review",D. Kaur; J. Singh,10.1109/ICICAT62666.2024.10923420,2024,"One-tenth to around a quarter of cancer patients lose their lives to Brain Metastasis (BM) globally. Accurate neuroimaging of BM is essential to encourage early detection, decide treatment options, and increase survival rates. This systematic literature review (SLR) examines the utilization of machine/deep learning algorithms and imaging modalities in the detection, segmentation, and classification of BM. The study adheres to the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analysis Statement) and meticulously evaluates 32 relevant articles spanning from 2018 to 2023. The investigation explores scholarly databases including Google Scholar, SCOPUS, Web of Science, PubMed, SCISPACE, IEEE, Science Direct, Hindawi, and EBSCOhost to pull out relevant studies. The four aspects viz. employment of various imaging modalities, utilization of machine/deep learning algorithms, evaluation of performance metrics, and investigation of software tools for the identification of BM considered in this study. The review identifies Convolutional Neural Networks (CNN) as the most frequently utilized algorithm with the highest AUC-ROC (0.98) and demonstrates its efficacy for BM detection. Furthermore, out of 32, 15 articles highlight the significance of contrast-enhanced T1weighted images (T1CE/ T1c). This SLR unearths the transformative impact of machine/deep learning algorithms and emphasizes the importance of imaging modalities for enhancing the accuracy of diagnostics."
Applications of Artificial Intelligence in Conversational Agents: A Systematic Literature Review of AI in Chatbots,M. J. Samonte; R. D. C. Arlando; N. A. P. Joquiño; J. B. Manongas; J. O. Poblete,10.1109/SEAI62072.2024.10674229,2024,"Artificial Intelligence in Chatbots has been growing interest to a lot of people in different industries and fields. A software application that could hold a conversation with a human agent through text or text-to-speech. However there has been no clear definition of how AI is applied to these chatbots. This study aims to analyze on the applications of AI in Chatbots and understands its influence on diverse fields. The goal is to gather data on the fields in which AI chatbots are mostly utilized and understand the techniques, methods, and relevancy in applying AI chatbots in that field. The methods used in the study is the Systematic Literature Review (SLR) approach to address the proposed research question and the Preferred Reporting Items for Systematic Review and Meta-Analysis (PRISMA) approach to help in the selection and acquisition of studies and articles. Findings show that the most common application of AI is Natural Language Processing (NLP), Machine Learning (ML), and AI Algorithms. The study also discovered a significant increase in published research about AI Chatbots every year. In the different fields, results show that Customer Support, Finance, and Education are the three fields that had the most studies. Chatbots have a better opportunity of being incorporated into other fields, as chatbots improve the workload and offer a more efficient method for handling the large workload. For future research, it is recommended to find more studies on the topic to validate and check the variety of applications of AI chatbots in various fields."
Research and Application of GPT-Based Large Language Models in Business and Economics: A Systematic Literature Review in Progress,Y. Han; J. Hou; Y. Sun,10.1109/ICOCO59262.2023.10397642,2023,"Represented by ChatGPT and GPT-4, Large Language Models (LLM) based on the Generative Pre-trained Transformer (GPT) have revolutionized the capability of Artificial Intelligence (AI) in natural language processing. In the fields of business and economics, large amounts of research and applications of GPT-based LLMs have been developed and published to automate tasks that mandate advanced human-machine interaction. Nevertheless, there has not been a systematic literature review on GPT-based LLMs in business and economics. To fill this gap, we present our in-progress literature review in this paper focusing on these two related fields. This paper analyzed 30 published research articles and delineated the trends in research, application, prompt engineering and ethical considerations. Our goal is to provide a research framework as well as an application guideline for the fast-growing audience of GPT and LLMs in business and economics. Results of the literature review indicate that many studies are: (1) engaged in creating new applications of GPT-LLM; (2) empirical-qualitative research based on evidenced-oriented data sources; (3) applying diverse methods of prompt engineering; (4) concerned about ethical challenges of GPT-based LLMs."
A Systematic Review on Machine Learning (ML) and Artificial Intelligence (AI) in Understanding and Assessing Women's Health,J. Yeboah; S. Bampoh; F. A. Yeboah; I. K. Nti,10.1109/CSCI62032.2023.00242,2023,"While depression remains a prominent health concern with its associated difficulties, recent years have witnessed the utilization of artificial intelligence (AI) and machine learning (ML) to analyze extensive datasets, thereby enhancing the detection and diagnosis of women's health risks. We conducted a systematic review of AI and ML applications in the context of women's health. This review was carried out using various databases, including PubMed, Scopus, ACM Digital Library, Web-of-Science, and IEEE Explore Digital. We employed specific search terms related to mental health and ML, supplementing our database searches with manual exploration. Our inclusion criteria encompassed articles in English published between 2010 and 2022, focusing on machine learning and artificial intelligence applications and algorithms in the domain of women health, particularly in relation to depression among women. Initially, we identified a total of 495 records based on abstract searches. After removing duplicates, 425 unique reports remained, of which 380 were subsequently excluded following abstract screening. We then assessed 45 full-text articles for eligibility, revealing a wide range of methodologies and outcomes. Notably, the results indicated a high level of accuracy in risk classification, exceeding 90%. Our findings provide valuable perspectives on the implementation and application of AI and ML within the domain of women's health. These insights underscore the potential of these technologies to propel advancements in interventions related to women's health. In summary, we present initial insights and propose future pathways for harnessing AI and ML technologies to tackle depression challenges to enhance women's health on a global scale."
Online Solution Based on Machine Learning for IT Project Management in Software Factory Companies,A. H. Marchinares; C. R. Rodriguez,10.1109/CICN51697.2021.9574682,2021,"Project Portfolio Management is relevant for the growth of companies since it favors planning. Project Portfolio Management manages the resources to plan, control, and execute projects and obtain the strategic objectives of the organizations. In Project Portfolio Management, a large amount of data is forged, important for planning new projects in companies; therefore, the need arises to create models that help process and interpret the data. In this context, Machine Learning is presented as a technological enabler that allows a system, by itself and in an automated way, to learn to discover trends, patterns, and relationships between data; it is an engine of digital transformation of business and that organizations are embracing. Therefore, this article aims to compile and review proposals made to implement machine learning in the management of the project portfolio and apply algorithms that allow the development of models that help in the management and evaluation of projects to be developed in a Software Factory. The CRISP-DM methodology is applied to process the data of costs, times, and types of Projects; the Python programming language is used, the dataset corresponds to a Software Factory. The results validate the models implemented using Machine Learning algorithms, such as regression and decision trees, and thereby obtain the best model for predictions, establishing the correlation between variables and the benefit to be achieved. It is concluded, the implementation of Machine Learning improves the IT Project Portfolio Management, helping to identify which projects are more profitable and beneficial."
Brain Tumor Classification Based on Deep Learning Algorithms: A Systematic Literature Review,M. R. Ramadhani; I. Soesanti; I. Hidayah,10.1109/ICITDA60835.2023.10427361,2023,"Along with the times, the medical field has changed and developed with the help of technology that is very helpful and makes it easier for both medical personnel and patients. The application of Artificial Intelligence (AI) also helps in the medical field, especially in medical imaging of Magnetic Resonance Imaging (MRI) images in the diagnosis of brain tumors, but in practice, there have been quite a number of studies trying to apply the application of AI to the diagnosis of brain tumors with results which is quite good with a variety of approaches to Deep Learning methods. Therefore, this is a challenge for the authors and this study aims to apply the right and best deep learning method to produce a higher quality brain tumor classification than previous studies so that the diagnosis of brain tumor disease in patients can improve even better. To identifying and extracting relevant and important data from recent studies, we conducted a systematic literature review using the PRISMA 2020 guidelines. The comparative analysis of recent studies correlated with brain tumor classification using deep learning techniques is considered in this systematic literature review. The outcome of this paper states the various research gaps identified from the systematic literature review."
Review of Hospital Outpatient No-Show Explainable Prediction Using Machine Learning,K. Toffaha; M. C. E. Simsekler; M. Omar,10.1109/ICTMOD63116.2024.10878195,2024,"Patient no-shows present significant challenges and costs to healthcare systems, prompting a focused exploration of hospital outpatient no-show prediction using explainable machine learning (ML) in this review. The systematic methodology aligns with Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, ensuring transparency, replicability, and thoroughness. A comprehensive search across major literature databases yielded 92 potential studies on ML models for outpatient no-show prediction. Following screening and eligibility assessments, 51 studies met inclusion criteria, emphasizing outpatient no-shows, leveraging explainable ML, featuring predictive modeling, and reporting quantitative metrics. Examining the publication distribution from 2010 to 2024 reveals a discernible upward linear trend, indicating the growing relevance of this research domain. The preference for more interpretable ML models over time, such as regression, decision trees, and ensemble methods, underscores their transparency and actionability. Despite challenges like limited model generalizability and clinician hesitation, proposed solutions, including collaborative learning and feature engineering pipelines, aim to enhance the reliability and applicability of outpatient noshow prediction models. This comprehensive strategy addresses existing challenges, facilitating the effective integration of explainable ML in healthcare settings and contributing to improved outpatient appointment attendance. In conclusion, this systematic review provides a robust foundation for understanding and implementing explainable ML approaches in predicting hospital outpatient no-shows, offering valuable insights for healthcare practitioners and researchers alike."
The Implementation of Artificial Intelligence for Online Review: A Systematic Literature Review,D. Syamsuar; Marcello,10.1109/ICIMTech63123.2024.10780904,2024,"In the digital era, many researchers are examining the usefulness of online reviews, which show the importance of online reviews. This has led many researchers, practitioners, and companies to implement Artificial Intelligence (AI) technology for automating and optimizing various aspects of online reviews. The implementation of AI for online review has become a hot topic. However, there is a necessity to classify and synthesize existing insights to identify the latest trends and opportunities for further research in the future. Therefore, this study will conduct a systematic literature review (SLR) to address this gap by examining the current state of research in the implementation of AI for online review. The study utilized the Preferred Reporting Items for Systematic Reviews and Meta-Analysis (PRISMA) flow diagrams by submitting 3 Research Questions (RQ). The final results obtained from 27 selected primary studies show that the research trend in the implementation of AI for online review is still highly relevant today, and retail is the most utilized industry by researchers. In addition, it was revealed that current research focuses on five topics, i.e., sentiment analysis, fake detection, information extraction, dataset analysis, and review helpfulness. Hopefully, this study can contribute to the academic side for future research and practical side for insightful information in implementing AI for online review."
AI-Powered IT Project Management: Analyzing the Effectiveness of Advanced Project Management Tools to Ensure Project Efficiency,J. K. Das; I. Elegbe; L. Coffie; R. Khadka; L. Chen; Y. Ji,10.1109/SoutheastCon56624.2025.10971718,2025,"The integration of Artificial Intelligence (AI) into project management has significantly transformed traditional methodologies, particularly within the Information Technology (IT) sector. This study investigates the effectiveness of AI-powered tools, specifically Asana, Jira, and Monday.com to improve project management efficiency through automation, resource optimization, and decision-making processes. Using a systematic literature review and quantitative analysis, the research highlights the capabilities and limitations of these tools in the management of complex IT projects. The study findings reveal that AI-powered platforms facilitate real-time tracking, predictive analytics and dynamic resource allocation, which collectively contribute to reduced project timelines and improved outcomes. However, challenges such as data quality, integration complexities, and the need for skilled personnel remain prevalent. The study was summarized with strategic recommendations for organizations to incorporate automation, leverage predictive analytics, and improve data integrity, thus maximizing the benefits of AI in project management. This research underscores the critical role of AI in modernizing project management practices, which ultimately leads to increased productivity and project success rates in the IT domain."
Application of Infrared Thermography and Artificial Intelligence in Healthcare: A Systematic Review of Over a Decade (2013–2024),J. Vicnesh; M. Salvi; Y. Hagiwara; H. Y. Yee; H. Mir; P. D. Barua; S. Chakraborty; F. Molinari; U. Rajendra Acharya,10.1109/ACCESS.2024.3522251,2025,"Infrared thermography (IRT) is a non-invasive, radiation-free imaging technique that uses an infrared (IR) camera to record and produce an image using IR radiation emitted from the body. IRT imaging has shown promise as a screening method for breast cancer, diabetic foot ulcers, and dry eye disease, among other medical disorders. The aim of this systematic review is to present a complete overview of the applications of artificial intelligence (AI) techniques with IRT imaging for medical decision support systems over the course of the last ten years (2013–2024). Several scientific databases, including PubMed, IEEE, and Google Scholar, were searched using Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines. After meeting the requirements for inclusion, 131 papers were selected. The reviewed studies demonstrated how various AI techniques, including deep learning and classical machine learning, can be used to develop automated diagnosis systems using IRT images. The efficacy of these AI systems differed depending on the medical field; for example, they could identify dry eye disease with 90–100% accuracy, classify diabetic foot ulcers with 85–95% accuracy, and detect breast cancer with 80–100% accuracy. This review highlights the value of IRT imaging in early disease detection, especially when combined with AI techniques. This work discusses challenges in using deep learning (DL) models in healthcare, including data scarcity and ethical considerations. It also, proposes three main recommendations: dataset standardization for ethical data management, clear governance models for ethical practices, and the use of Multimodal Large Language Models (MLLMs) to address explainability issues."
