title,authors,doi,year,abstract,Normalized Title,Normalized Authors
toward a method engineering framework for project management and machine learning,M. P. Uysal,10.1109/COMPSAC57700.2023.00179,2023,adopting or tailoring a project management  pm  method for the domain specific requirements of machine learning  ml  and software engineering  se  has been a major challenge  however  the review of the literature cannot provide sufficient work  and thus engineering pm processes for ml remains neglected  therefore  this paper presents the theoretical and methodological aspects of a study  which is also the third and last part of an integrated research project conducted for baskent university hospital ankara  buha  the outputs of the study are twofold   a  a method engineering  me  framework for ml pm  and  b  a new hybrid pm for ml projects  the research approach combined the guidelines and principles of design science research and action research methods  it is thought that this study may be regarded as promising  and an attempt to improve se and pm processes of ml in the healthcare domain ,toward a method engineering framework for project management and machine learning,mpuysal
intelligent risk management in construction projects  systematic literature review,L. Chenya; E. Aminudin; S. Mohd; L. S. Yap,10.1109/ACCESS.2022.3189157,2022,as digitalization leads to the development of the global economy and artificial intelligence stimulates technological innovation  integrating smart management methods into project management is becoming more and more critical to the development of the construction industry  as an influential branch of engineering management  intelligent risk management in the construction field will be a future research direction  hence  the aim of this study is to find the gaps and future research trends in intelligent risk management field by systematic literature review  in order to achieve these objectives  436 articles were selected from the wos and scopus databases to be analyzed by citespace scientometric software  and the results were classified into collaborative network analysis  co citation analysis  and public network analysis  from the analysis  china had the highest number of publications  while the united states was the most influential country in this field  the researchers at different institutions in this field have formed research teams despite the lack of collaboration between the authors and their institutions  in co cited references  the emphasis was on traditional methods and applications of risk analysis  with fewer citations of novel methods  according to the keywords  the clusters of keywords  and the temporal evolution of the keywords  and combining the conceptual model  5 research gaps areas were discovered  in order to fulfill these challenges and barriers  this study found the future research trends  including  developing digital management platform for intelligent construction management and risk management  building a decision making system for risk management to find an optimum solution  refining building digital models which would be the basis of digital management platform  identifying and category the characteristic construction risk factors by using machine learning techniques  just like text mining or knowledge graph  building an api to embed decision making system into digital management platform  and the intelligent risk management system in real time projects to verify its possibility ,intelligent risk management in construction projects systematic literature review,aminudinchenyaellmohdssyap
commit classification into software maintenance activities  a systematic literature review,T. Heričko; B. Šumak,10.1109/COMPSAC57700.2023.00254,2023,commits represent an essential part of software development practices  serving as the means for collaboration and management of software changes made to a software project s codebase  changes are necessary for the survival of software  for instance  to fix faults  address security vulnerabilities  meet new functional requirements  and improve software performance  to aid software research and practice  several research endeavors attempted to automate the process of identifying the nature of the maintenance tasks performed in a commit based on the data associated with the commit  this paper presents a systematic literature review of supervised learning based models for commit classification into maintenance activities  through the study selection process  19 primary studies were identified  published between 2008 and 2023 in various journals and conference proceedings  for the independent variables for classification  features extracted from commit messages are prevalent  followed by features extracted from source code and commit metadata  in the majority of existing studies  multi class classification approaches are used  whereas multi label approaches are considered rarely  the most commonly used classification algorithms include decision tree  random forest  naive bayes  and neural network  several datasets exist  consisting mainly of commits from different open source projects based on the java programming language  some research gaps and open challenges were identified that can guide future research efforts ,commit classification into software maintenance activities a systematic literature review,bherikotumak
supervising multidisciplinary final year engineering students to develop cubesats with an innovative project management method,S. Luo; E. K. Soh; A. P. Loh,10.1109/FIE.2018.8658780,2018,it has been shown that developing nano satellites is a good platform to motivate and educate students in science  technology  engineering and mathematics  stem  disciplines  in this paper  the authors have explained an innovative project management method  called major project review  and its implementations to supervise different batches of multidisciplinary final year engineering students to develop a cubesat as their final year projects  fyps  in three to four years  the major project review approach has been successfully verified in our first cubesat project  galassia  and is continuously used to develop our second cubesat  galassia2  from the success of galassia and student feedbacks  the method has been proven to be very efficient to control and monitor the cubesat development progress  and to motivate and educate engineering students  with our continuous implementations in galassia2 project  we hope to collect more experiences and data to further optimize the approach ,supervising multidisciplinary finalyear engineering students to develop cubesats with an innovative project management method,aeklohluopssoh
review on the significance of artificial intelligence in construction engineering and management,S. Kediya; M. P. Bhorkar; P. Deshpande; R. Jain; C. Puri; A. A. Gudadhe,10.1109/ICCSAI59793.2023.10420911,2023,this extensive research investigates the tremendous significance of artificial intelligence  ai  in the field of construction engineering and management  cem  it explores how artificial intelligence technologies  like iot integration  machine learning  and blockchain applications  have the potential to completely revolutionize the way that building is done  the review emphasizes how crucial ai is to improve project management  efficiency  safety  and promoting environmentally friendly building methods  to fully realize ai s promise  the construction sector needs to raise its knowledge of and acceptance of the technology ,review on the significance of artificial intelligence in construction engineering and management,aabhorkarcdeshpandegudadhejainkediyampppurirs
antecedents of pmo effectiveness in technology projects in the age of ai,A. A. Baswan; A. Seetharaman,10.1109/ISMSIT63511.2024.10757286,2024,as per harvard business review  hbr 2023  each year usd 48 trillion are invested in projects  however  it is widely recognised that less than 35  of projects achieve  even partially  their strategic objectives  standish group s annual chaos 2020 report  this responsibility falls  in a large part  to the effectiveness of project management offices  pmos  running these large projects  additionally  there are rapid advances being made in the field of artificial intelligence  ai  at present  there is lack of wide spread use cases in wide array of industries  however  gartner s research  2023  indicates that in a decade  over 80  of standard project management tasks will be carried out using ai  machine learning and other digital advances  project management offices  pmos  are a feature of large banking and financial service organisations and offer many services  including portfolio prioritisation  project governance standards  tracking project risks and budget consumption and monitoring internal or external influences  a critical role of the pmo is to move the organisation closer to its strategic goals and report the achievement of enterprise objectives to shareholders and stakeholders  this research identifies and studies the factors that determine the effectiveness of pm os   organisation maturity  performance metrics  pmo processes  its environment and adoption of ai tooling   so appropriate actions can be taken to improve the performance of pm os operating in the age of artificial intelligence  ai ,antecedents of pmo effectiveness in technology projects in the age of ai,aaabaswanseetharaman
software cost and effort estimation  current approaches and future trends,C. H. Rashid; I. Shafi; J. Ahmad; E. B. Thompson; M. M. Vergara; I. de la Torre Diez; I. Ashraf,10.1109/ACCESS.2023.3312716,2023,software cost and effort estimation is one of the most significant tasks in the area of software engineering  research conducted in this field has been evolving with new techniques that necessitate periodic comparative analyses  software project success largely depends on accurate software cost estimation as it gives an idea of the challenges and risks involved in the development  the great diversity of ml and non ml techniques has generated a comparison and progressed into the integration of these techniques  based on varying advantages it has become imperative to work out preferred estimation techniques to improve the project development process  this study aims to present a systematic literature review  slr  to investigate the trends of the articles published in the recent one and a half decades and to propose a way forward  this systematic literature review has proposed a three stage approach to plan  tollgate approach  conduct  likert type scale  and report the results from five renowned digital libraries  for the selected 52 articles  artificial neural network model  ann  and constructive cost model  cocomo  based approaches have been the favored techniques  the mean magnitude of relative error  mmre  has been the preferred accuracy metric  software engineering  and project management are the most relevant fields  and the promise repository has been identified as the widely accessed database  this review is likely to be of value for the development  cost  and effort estimations ,software cost and effort estimation current approaches and future trends,ahmadashrafbcdediezehiiijlammrashidshafithompsontorrevergara
application of natural language processing techniques in agile software project management  a survey,R. Younisse; M. Azzeh,10.1109/ICICS60529.2023.10330468,2023,software effort estimation has long been an important task for better software management  most of the constructed effort estimation models were based on data collected from software projects that had been developed using traditional software development processes  the structure of this data is usually in the form of tabulated data  recently  the agile management framework invaded software production lines as an effective and productive management method  it helps software development teams to complete their tasks in a highly effective way  one of the main components of this success is predicting accurate story points from textual user stories  user stories and story points have become an essential component over which the project planning process is built  machine learning  artificial intelligence  and deep learning are used to enhance the process of using user story context to put a close estimate of the required resources to finish the project  using these models has become popular and remarkable in the field of effort estimation  the textual nature of user stories directed the research into the natural language processing path  natural language processing models can be used to understand textual user story context in order to produce effort estimates  this study reviews the usage of natural language processing methodology in the context of agile project effort estimation based on the contextual content of user stories ,application of natural language processing techniques in agile software project management a survey,azzehmryounisse
quantum computing in project management  transforming risk assessment and decision making,R. E. Indrajit,10.1109/ICIC64337.2024.10957024,2024,quantum computing has emerged as a transformative technology with the potential to significantly impact the field of project management  particularly in the areas of risk assessment and decision making  unlike classical computing  which processes information in binary formats  quantum computing leverages the principles of superposition and entanglement that allow simultaneous processing of multiple states  this unique capability enables more accurate predictive analytics  providing project managers with the tools to evaluate complex scenarios with unprecedented precision  this paper presents a comprehensive literature review of quantum computing ap  plications within project management  examining how these advancements can optimize resource allocation  enhance decision making frameworks  and lead to more effective project outcomes  the findings suggest that integrating the concept of quantum computing into project management methodologies could fundamentally reshape traditional approaches  offering new pathways for managing uncertainty and improving project success rates  future research directions and practical implications for project managers are also discussed ,quantum computing in project management transforming risk assessment and decisionmaking,eindrajitr
artificial intelligence project success factors  moral decision making with algorithms,G. J. Miller,10.15439/2021F26,2021,the algorithms implemented through artificial intelligence  ai  and big data projects are used in life anddeath situations  while research exists to address varying aspects of moral decision making with algorithms  the definition of project success is not readily available  nevertheless  researchers place the burden of responsibility for ethical decisions from ai systems on the system developers  using a systematic literature review  this research identified 71 ai project success factors in 14 groups related to moral decision making with algorithms  it contributes to project management literature  specifically for ai projects  project managers and sponsors can use the results during project planning and execution ,artificial intelligence project success factors moral decisionmaking with algorithms,gjmiller
enhancing engineering cost risk management through artificial intelligence based warning and control systems,W. Xu,10.1109/ICPICS62053.2024.10795935,2024,with the growing importance of engineering cost risk management in the construction sector  the integration of artificial intelligence  ai  technology has emerged as a crucial tool for enhancing the effectiveness of risk alerts and control measures  this research endeavors to delve into the utility of ai in managing engineering cost risks and to suggest appropriate warning and control approaches  by conducting a thorough literature review and case studies  the study identified and compared three ai models  the long short term memory  lstm  network  support vector machine  svm  and random forest  rf  evaluating their performance against key metrics such as cost variance ratio  cvr  schedule performance index  spi  and risk response efficiency  rre  the research methodology encompassed data collection and preprocessing  model training and validation  and comprehensive performance assessment  the findings revealed that the lstm model achieved a minimum cvr of 1 1  a maximum spi of 1 03  and a remarkable risk response efficiency as fast as 12 5 minutes  the study concludes that lstm significantly enhances the precision of engineering cost risk warnings  offering a novel insight and robust technical foundation for project management in the construction industry ,enhancing engineering cost risk management through artificial intelligencebased warning and control systems,wxu
vsest 29110 tool  using chatgpt to evaluate the implementation of the iso iec 29110 work products,J. Mejía; V. Terrón-Macias; M. Muñoz; M. Terrón-Hernández; M. Canseco-Pérez,10.1109/ACCESS.2024.3449252,2024,the global software industry is predominantly composed of micro  small  and medium sized enterprises  msmes  highlighting the need for software quality management to ensure the proper functioning and quality of the software  this research focuses on the evaluation of the implementation of the iso iec 29110 standard work products  which is a standard tailored by the iso iec specifically for msmes  which improves the software development process by implementing two processes in its basic profile  project management  pm  and software implementation  si  despite this standard being tailored specifically for this type of enterprise  implementing iso iec 29110 faces several challenges  such as a lack of knowledge and difficulties in adequately implementing the work products regarding the compliance of standard criteria  among others  to address these challenges  we introduce vsest 29110  a web tool designed to evaluate the iso iec 29110 standard implementation work products by leveraging artificial intelligence  ai  technologies  specifically the chatgpt model  provide detailed feedback on compliance with standard criteria  offer suggestions for improvement based on chatgpt analysis and streamline the implementation process for msmes  to achieve this  our research incorporates a systematic literature review and validation through a case study by document analysis  demonstrating vsest 29110 s effectiveness in enhancing compliance and providing comprehensive feedback compared to auditor recommendations  which impacts 69 33  on average ,vsest 29110 tool using chatgpt to evaluate the implementation of the isoiec 29110 work products,cansecoprezjmmmmejamuozterrnhernndezterrnmaciasv
empirical investigation of influencing factors regarding offshore outsourcing decision of application maintenance,H. U. Rahman; M. Raza; P. Afsar; H. U. Khan,10.1109/ACCESS.2021.3073315,2021,global software development  gsd  has been an emerging trend in the development of software globally  for the last two decades  information technology  it  outsourcing includes application development  application maintenance  infrastructure management and business process outsourcing  software maintenance aims to keep the it system operational and to fulfill the client requirements  the maintenance is considered the longest phase of software life cycle that consumes about 60 70  of the total software budget  maintenance of software is not only time consuming but also requires a significant human resources  ratio  mostly  software acquisition and maintenance consume a big portion of the total it budget  the current study aims to evaluate the findings of the systematic literature review and to derive a list of critical success factors regarding offshore outsourcing decision of application maintenance  thus  an empirical study is performed to validate the influencing factors that were identified by using systematic literature review  these factors are further validated by 93 outsourcing experts from 30 different countries  the collected data through online survey is analyzed based on variables such as respondents experience level  respondents  locations  continents  experts  positions  similarly  the data is analysed based on chi square test  linear by linear association  and spearman rank correlation  additionally  the identified factors through survey and systematic literature review are ranked by two different methods  consequently  a project assessment model is proposed  based on the critical success factors for the sourcing decision of application maintenance ,empirical investigation of influencing factors regarding offshore outsourcing decision of application maintenance,afsarhhkhanmprahmanrazauu
applications of artificial intelligence in firefighting management systems  a bibliometric review,R. -N. Boştinaru; N. Bizon; S. Dragusin; F. M. Enescu,10.1109/ECAI61503.2024.10607495,2024,in the paper  the last generation technologies in the field of smart fire management systems are debated  paper presents fire prevention and control technologies in areas such as  forestry areas  cities  buildings and in transport  the processed data are extracted from databases such as google  wos and scopus  the paper presents the advantages and disadvantages of the technologies used in fire prevention and control  projects and architectures  the work also analyzes  using the prisma smart fire management systems method  the summary of graphs revealed in the field of interest  the conclusions of the work are that it is a vast and intensively researched field in continuous expansion and remodeling in trend with the latest technologies  the work is composed of three chapters  so chapter 1 presents the analyzed technologies  chapter 2 presents the prisma analysis and chapter 3 presents the conclusions ,applications of artificial intelligence in firefighting management systems a bibliometric review,bizonbotinarudragusinenescufmnnrs
a systematic literature review of requirements volatility prediction,A. M. Alsalemi; E. -T. Yeoh,10.1109/CTCEEC.2017.8455174,2017,requirements volatility is a crucial risk factor in software projects as it directly results in cost and time overruns  accurately predicting requirements volatility is important for better project management  this paper presents a systematic literature review that focuses on the prediction of the requirements volatility  this literature review aims to answer four research questions  1  how is requirements volatility prediction applied to different software development methods  2  what are the machine learning algorithms used to predict requirements volatility in software development  3  what are the attributes  predictors  used to predict requirements volatility in software development  4  what are the performance metrics for evaluating existing prediction models  this study presents predictors used in the literature and their performances ,a systematic literature review of requirements volatility prediction,aalsalemiemtyeoh
a review of trends and practices in using visual data for construction related machine learning models,A. Mohammadi; S. Golazad; A. Rashidi,10.1109/WSC63780.2024.10838973,2024,this paper systematically reviews image based analysis in the construction industry  examining 136 articles through 2023  the findings reveal a marked increase in the use of machine learning  ml  deep learning  dl  and reinforcement learning  rl  models  which utilize image and video data to enhance worker safety  monitor construction progress  and improve project management  the study identifies a significant shift towards integrating real and synthetic data  enhancing model robustness  it also highlights the rising adoption of data sharing practices  with an increase in publicly available datasets  however  the review highlights underexplored areas such as synthetic data use and advanced privacy preserving methods  these gaps suggest opportunities for further research to leverage technology more effectively in the construction sector ,a review of trends and practices in using visual data for constructionrelated machine learning models,aagolazadmohammadirashidis
ai in sustainable construction  techniques  impacts and solutions,T. Dagadkar; S. Dagadkar; A. Barhate; A. Tale; P. Verma; A. Dagadkar,10.1109/IDICAIEI61867.2024.10842895,2024,artificial intelligence  ai  application in sustainable construction is a revolutionary way to improve construction methods and practices  minimize the negative effects on the environment  and manage the resources efficiently  this review presents the responsibilities  advantages and uses of ai in green construction  based on such technologies as predictive modeling  the design of smart buildings  and efficient management systems of construction projects  the construction sector can decrease co2 emissions and advance environmental sustainability  in addition  the paper also examines barriers to the applications of ai such as technology constraints  high cost of deployment  and inadequate talent  in conclusion  this paper also discusses how ai has impacted sustainable construction and its implications and further direction for encouraging its application in the construction industry ,ai in sustainable construction techniques impacts and solutions,aaabarhatedagadkardagadkardagadkarpsttaleverma
project portfolio management studies based on machine learning and critical success factors,A. H. Marchinares; I. Aguilar-Alonso,10.1109/PIC50277.2020.9350787,2020,project portfolio management is very important for the growth of companies  because it favors to plan several possibilities in each scenario  the purpose of the project portfolio management is to manage all resources in order to plan and execute successful projects and achieve the strategic objectives of the organizations  in the project portfolio management  a lot of data is generated daily  which is important for the planning of new projects in companies  consequently  this need arises to create models that help to process and interpret this data  in this context  machine learning as an expression of artificial intelligence  is presented as an alternative and technological enabler that allows a system  by itself and in an automated way  to learn to discover patterns  trends and relationships in data  it is presented as an engine of digital transformation of business  which is being adopted by many organizations and its demand is growing  therefore  this paper aims to compile and review the proposals made for the implementation of machine learning and critical success factors to improve project management  based on a literature review and an analysis of the current state of the art of machine learning  122 articles were found and 21 articles were selected that are related to the research questions  as a final result  7 ml methods and 18 critical success factors for ppm have been identified ,project portfolio management studies based on machine learning and critical success factors,aaguilaralonsohimarchinares
